"","chrms","X11","X18","X1","X2","X31","X3","X49","X4","X5","X61","X69","X76","X77","X7","X8","X9","X112","X115","X117","X123","X141","X152","X29","X001","X002","X003","X004","X005","X006","X007","X008","X009","X011","X015","X028","X088"
"1",1,-0.998629478360809,0.431698144536529,0.0188136376424758,0.106862362396119,-0.024301408528915,-0.045715833522231,-0.0563489609096521,0.00458952789761599,0.0412329155558277,-0.0578681347604828,0.0309936897944176,-0.0670741658303737,-0.000598998287212911,0.520405504392662,0.133385149898751,0.105318394151146,-0.036883102151962,-0.103123178990664,-0.116269911770638,-0.150069505960352,0.00523257430079042,0.440843655545469,0.0419503515088705,0.0638472006719985,-0.0433273838772597,-0.0920123903545541,0.00672755562769498,0.0834136664852338,0.00230262146871604,-0.0247210795167542,0.0123272236655497,0.0293475182970009,-0.0152825502501564,0.0808255076005396,-0.019137734710312,-0.0680845808383098
"2",2,-0.0210355557059829,-0.030787041106912,-0.00811695722119145,-0.030638310456932,-0.0335090866803452,-0.0564768377035434,-0.0538288821091454,-0.0277323217239911,-0.0341313289978187,-0.0502944922865779,0.0192102549926562,-0.0508275878968783,-0.00795428352137987,-0.050783545065958,-0.0193084290573871,0.00306977775883699,0.0979282795906866,0.0358036717125713,0.00652303128525508,-0.0379765291943709,0.0377970588573488,-0.0416683275731697,0.0222622472236794,0.0126877125521334,-0.0433298661201569,-0.0771949716106901,-0.12590745268432,0.0520289641344396,0.00276068137910383,-0.00878864482003385,-0.00570177101803125,-0.0706197290615275,-0.0113540967006423,0.0097732254886717,0.0221148398094673,-0.0444970516435864
"3",3,-0.0727502238029957,-0.107811181760576,0.0972472272728906,0.0678814561675537,-0.0491688588256086,0.013131263159312,-0.0397243187714184,0.010175837066688,0.0955075934972191,-0.0458843481124707,-0.00373593725983545,-0.142631021513714,-0.00840112951200989,-0.00413023888856275,0.123091227285425,0.0742471232492284,0.0311785529287041,0.0246945835904619,-0.0589984698634594,-0.0937860318176672,-0.0360695968621449,-0.065174319315418,0.0435214230461621,0.0263122152007767,-0.0675905478691346,-0.0794479866627994,-0.0181313959780959,0.107215540923759,0.0305014271258284,0.0148331133144725,0.0136351531132039,-0.0271051210865797,-0.0529407807847482,0.000737267982849983,0.0859668648816507,-0.0471953267404862
"4",4,0.023439443947294,-0.0538136544159883,0.0400079251466688,-0.0455424829573731,-0.0203528269648772,-0.0245336685173395,-0.000652916731008542,-0.0384546681185291,-0.0128867565265896,-0.0572897581013787,-0.00350593103818137,-0.0454071821117042,-0.0397181510952403,-0.0547211881635689,-0.0118008957601288,-0.0120757906382793,0.0791276358825618,0.0595452047126118,0.0218525649707678,-0.00937584701228361,0.0303345753283718,-0.0377619819842165,0.0768686412423356,0.00768735203194995,-0.0161351066115689,-0.0298817109736409,-0.0651035821878562,-0.010922360724327,-0.0263737295599519,0.00552522840242329,0.0138025373608787,-0.0795006906158828,0.000832617773954155,-0.0425925710610645,-0.0144361293980107,-0.0400848898696112
"5",5,-0.0549283659231321,-0.00481142308554505,0.0553827121961723,0.0207835025196024,-0.0381649466606924,-0.0171625618418987,0.505375844327641,0.528512074720011,0.058513542729458,-0.025534467072831,-0.0206183482527023,-0.070749881864143,-0.00250449862557645,0.00259875107557623,0.0418455707643916,0.0269237568556513,0.110293783340455,0.0287202439367588,0.480887428408773,0.292700806496349,0.0738405346322743,-0.0742758502040911,0.0186508864558808,-0.0527678243413185,-0.0878995797400832,-0.0819211915106055,-0.0958730353001926,0.110710562798259,-0.0270944606605152,-0.00838148198495704,0.00457604851591566,-0.100902204265447,-0.034490238200366,0.000236134042173251,0.013567997513858,-0.0785896368409446
"6",6,-0.115231616129927,-0.0402775331165408,0.0381105345993165,0.0722518412996822,0.00116708304203115,0.00570342821389048,-0.138286568163614,0.0334746856399721,0.0750540743687913,-0.00562629315498931,-0.00546393575323499,-0.0242022412895783,8.30390407768317e-06,0.00902108841004987,-0.0239585880438723,0.0599048408079957,-0.0111576728081454,-0.00923306746929374,-0.0700536020354823,0.00379243666005926,-0.0117413585443068,-0.0499470407957158,0.0889765078541968,0.0885354582692889,-0.0334108377239735,-0.0430134378737609,0.0287793237165109,0.0749679222144638,0.0243541315835127,-0.00120863316509562,-0.00631576275941075,0.0758647621117496,0.0181569347853648,0.103890196902141,-0.0118659995440959,0.00749810850111367
"7",7,0.0452390510700883,0.00353526025403427,0.0747263868632247,0.00456610362127975,0.0117790940698723,0.0193368549041246,-0.0244499285750595,0.0150929354319677,0.0199497887374765,0.554953795026795,-0.000119374016734248,-0.0306430221570115,0.0146475918001198,0.00314845841940652,0.0289874888317268,0.0523502188216209,0.0802025388498028,0.0406711789987412,0.000487267605680662,-0.0471672725848015,0.0486114764986489,-0.0546543777885047,0.066989761642679,0.0271201314789884,0.0129031195964279,-0.00495087058864674,-0.0461122616128549,0.0182229726341191,0.0155614831238045,0.00767510213174707,0.0173696115853449,-0.029878341780601,-0.00626865992102384,-0.000483902585122448,0.0175090688361568,-0.00750496210938105
"8",8,-0.0372545970112568,-0.0417490142708687,0.0107654532507824,0.0190655382976082,0.0002915234150894,-0.00548236944524425,-0.0530631053221436,-0.0153037944254232,0.0635836476629518,-0.00931872801491247,0.0148398891683577,-0.0610551343293029,0.0222656885532501,0.00788005188192621,0.0689908690644657,0.0703120558947191,-0.000218521050439612,-0.00994968333437742,-0.103823779035859,-0.095148903146495,0.00616232221392617,0.53491358211097,0.0214634171621248,0.0075382985365498,-0.00742113439269178,-0.0319198648230713,-0.0514304813240486,0.036454977125663,0.00992100257843547,-0.0161441032048758,-0.0391901358560199,-0.0342714965036608,-0.0191237384478411,-0.0263119624180271,-0.0420901473027517,-0.0375034872917285
"9",9,0.0707685154001751,-0.150290399582348,0.000965021393407075,-0.0995208200620569,-0.0794415482667171,-0.126219277842853,-0.0289443064172956,-0.0423925480355635,-0.0460624303032302,-0.0837617292723545,-0.0088792701983798,0.536268869042206,-0.0581697325055867,-0.0577597601611216,-0.0734002187817902,-0.0488707079972772,0.0520941432236704,0.0133975498115408,0.0438349629721789,-0.0133291109808926,0.0411454461977984,-0.0742197703246014,-0.878177508521841,0.0991697475624661,-0.0258044309824721,-0.058956883313387,0.0284764310450098,0.0954610466745595,0.0346661354223893,0.0283380310035685,0.0189198532270653,-0.0466990986952789,-0.0178944866225251,0.586260608306367,0.0526646619241658,0.526687904576895
"10",10,0.0272316014606415,-0.0488082943596186,0.03242231222534,-0.0130952610857729,-0.00579361902269118,-0.038551828973177,-0.0308453358805862,-0.0161076488642187,-0.0354481850692053,-0.0165789288299807,0.00388256081682575,0.240212447856184,-0.0338001008657754,0.00296274878636815,0.00746305277099599,0.00534704243366371,0.102289125810853,0.0721635408375946,0.00285389602447934,-0.0353225134472676,0.0243164857132084,-0.0632891007054304,0.0300858623118047,0.0317539376000339,0.00366082431620892,-0.00917924619303181,-0.0612622496947522,0.0273892073260148,-0.0219308085184052,-0.00565312711260676,0.026994179450741,-0.0505737494446177,0.0162282991245207,0.0482493159577442,-0.00343620778922909,-0.0328743182890083
"11",11,0.0105760202197285,-0.0539586891589367,0.0598901689367668,-0.0405862361619845,-0.0353818962657204,-0.0312286397254868,-0.00395075566329033,0.0280769037030782,-0.00874918496825442,-0.0348621428645647,0.000453547533495367,-0.0243580002281173,-0.0414385895662659,0.00167465878641066,-0.0260655924758864,-0.0193867364615797,0.0777680354994201,0.0786917366961133,0.0587249361189107,0.0190771910011283,0.0398134304446764,-0.0632337631376447,0.0955088013738629,0.0506870230372559,-0.0278849635897771,-0.0594729847059172,-0.00597284141363397,0.0324812777614111,-0.0285023346592439,-0.0101870383336573,-0.00643500604272532,-0.0633470134967216,0.0130007562302056,-0.00771674629936277,0.0163383445667751,-0.0680551882097791
"12",12,-0.0321415571671731,0.514578417046664,0.103001181927049,0.0445907054495693,-0.0229203786760357,-0.010464537056253,-0.104549216626225,-0.00351344316759011,0.0206240751419477,-0.0514557806326157,0.0260348398437313,-0.0382500586789339,0.577353507785927,0.0131122064588155,0.00711663929484115,0.08179585857661,0.0410888200575208,-0.0201880879055951,-0.0997448415013911,-0.0641090319112874,0.0840316716575535,-0.0309826730974806,0.0566608629324297,0.00100267744239867,-0.0428536506695609,-0.0452755582062272,-0.101354329673447,0.0110589875310903,-0.00847856720986037,-0.040415937739265,0.0198196496667041,-0.0399221670724863,-0.0282435554594151,-0.0227702378542531,-0.0176128737297376,-0.0399272704975855
"13",13,-0.0043025425586245,-0.0305551591054997,0.0868629901053662,-0.0165894541195132,0.00717249163029068,-0.0251148155287388,-0.0215037934421338,0.0209126906867966,-0.0117293209098922,-0.0155271389133962,0.0475254786145739,-0.0119858877860001,0.0186401746074167,0.00373380647676972,0.0434157871151217,0.0502279954166439,0.116667993133339,0.074674146615853,0.0517936161256554,0.0154634819620053,0.0550428804440757,-0.05084752590738,0.0647979465446349,-0.00344393352169871,-0.0139157785899114,-0.060008722899644,-0.0686732903692664,0.0124861127997425,-0.00595350910615728,-0.00539746893028808,0.00630036789795659,-0.0532757856153198,-0.012513304804266,-0.0125464380120911,-0.00539613805849754,-0.0530257061261079
"14",14,-0.057764652069939,-0.0274513197922075,0.0727953871437609,0.0908673511636247,-0.0130851105153946,0.0941631697859224,-0.0655038025102886,-0.0067917379275853,0.11020944474282,-0.0142988658967617,0.000857627113172734,0.51558485671135,0.00444564745881273,0.00257738515835604,0.0649187318402789,0.0570325035038777,0.0519446367373643,0.064791390178919,-0.00562234694224181,-0.00632560745361018,0.0135363789406112,-0.0484097939491962,0.0574983621674768,0.0282935465665834,0.0430707860259134,0.00387658751697081,-0.0397805499074951,0.0547732884495046,0.00590919478524682,0.0394429951662101,0.0282551234680583,0.516427152998268,0.0174119281818181,-0.00791041308805919,0.0129973307270385,0.00416403570726964
"15",15,0.547624169248627,-0.021510368696431,0.0437617240122307,-0.0332564139153745,-0.0206747873390626,-0.0190749959737791,-0.0730894517595334,0.000324216244760013,-0.0128623266232015,-0.0418214462780386,-0.00157618840016249,-0.0291146040790257,-0.0268037969846035,-0.0267031795744111,0.0514865022944822,-0.0231889858712485,0.123636020485401,0.0212098582090178,-0.0323860064345428,-0.0760487515159649,0.0187478659647344,-0.0469303817263174,0.0605670226031249,-0.00573239343577957,-0.0212688436822671,-0.0334509598261966,-0.0566625593029751,0.0461660055693401,0.0087087938096762,0.00676854933842821,0.0168405248399337,-0.0712560457607677,-0.0204752695475027,-0.00935317358237537,-0.00390014352053904,-0.0220089619391481
"16",16,0.00234788373272369,-0.0436776792679099,0.0660162553332004,-0.0553384895572291,0.00380713023385527,-0.0209776830687564,-0.040319085358017,0.0374705430156176,-0.0179867337383836,-0.0266069537181679,0.0229580774268732,-0.0272342493783243,-0.0378771664517311,0.0100578962091136,0.914425665386707,0.0146755636915019,0.704735599310343,0.12673037732462,0.0986837472633411,0.0664276341736534,0.466988998921035,-0.0156431934567713,0.159617670155145,0.0304858804503322,0.00633860355667562,0.00767553200821036,-0.051453242966558,0.0335193504628795,0.00109168137726263,0.0120293278181485,0.0131953928348823,-0.0978105971943417,0.0107181013704916,-0.00575378170202648,-0.00925388949228638,-0.0191265600175416
